epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.88323,3.89386,4.48329,3.10439,0,0,0,0,4.12658,4.37052,3.12391,1.111e-05,1.111e-05,1.111e-05
2,7.5806,3.96135,4.47661,3.23855,0,0,0,0,4.09052,4.36206,3.07536,3.00303e-05,3.00303e-05,3.00303e-05
3,11.2744,1.91105,6.24508,1.56905,0,0,0,0,4.06096,4.35501,3.00256,4.45511e-05,4.45511e-05,4.45511e-05
4,14.9681,4.10854,4.4374,3.37393,0,0,0,0,4.04952,4.32248,2.92936,5.46723e-05,5.46723e-05,5.46723e-05
5,18.8149,3.80605,4.34237,3.17765,0,0,0,0,4.02799,4.29547,2.85971,6.0394e-05,6.0394e-05,6.0394e-05
6,22.4913,4.10987,4.51616,3.16709,0,0,0,0,4.02799,4.29547,2.85971,6.17161e-05,6.17161e-05,6.17161e-05
7,25.9818,4.16804,4.43794,3.25143,0.0027,0.02273,0.00142,0.00057,3.90659,4.30407,2.78783,5.86386e-05,5.86386e-05,5.86386e-05
8,29.8365,4.36811,4.5926,3.16086,0.00273,0.02273,0.00149,0.00074,3.81706,4.29422,2.74494,5.11616e-05,5.11616e-05,5.11616e-05
9,33.5285,3.79918,4.39458,3.17325,0.00273,0.02273,0.00149,0.00074,3.81706,4.29422,2.74494,3.9285e-05,3.9285e-05,3.9285e-05
10,37.098,3.97083,4.5171,2.91911,0.00294,0.02273,0.00182,0.00091,3.8223,4.28228,2.73662,2.30088e-05,2.30088e-05,2.30088e-05
